!SIL	sil
<UNK>	sil
ការដាក់ដេញថ្លៃ	k aː d a ʔ d e ɲ tʰ l ai
ការដេញដោល	k aː d e ɲ d aɔ l
ការដេញថ្លៃ	k aː d e ɲ tʰ l ai
ការបណ្ដេញចេញ	k aː b ɑ n d e ɲ c e ɲ
ចចេញចចុញ	c ɑː c e ɲ c ɑː c o ɲ
ចាកចេញដំណើរ	c aː k c e ɲ d ɑ m n aɜ
ចិញ្ចាច	c e ɲ c aː c
ចិញ្ចឹមជីវិត	c e ɲ c ɜ m c iː β̞ i t
ចិញ្ចឹម	c e ɲ c ɜ m
ចិញ្ចើមផ្លូវ	c e ɲ c aɜ m pʰ l oʊ β̞
ចិញ្ចើម	c e ɲ c aɜ m
ចិញ្ចៀន	c e ɲ c iɜ n
ចិញ្ច្រាំ	c e ɲ c r a m
ចិញ្ជៀន	c e ɲ c iɜ n
ចេញចាក	c e ɲ c aː k
ចេញដីកា	c e ɲ d ɜi k aː
ចេញដំណើរ	c e ɲ d ɑ m n aɜ
ចេញថ្លៃបាយ	c e ɲ tʰ l ai b aː j
ចេញថ្លៃ	c e ɲ tʰ l ai
ចេញទូក	c e ɲ t uː k
ចេញទៅ	c e ɲ t ɘɨ
ចេញផុត	c e ɲ pʰ o t
ចេញផ្សាយ	c e ɲ pʰ s aː j
ចេញពី	c e ɲ p iː
ចេញមុន	c e ɲ m ʋ n
ញ៉ិញញ៉ុញ	ɲ e ɲ ɲ o ɲ
ដេញគំនិត	d e ɲ k ʋ m n i t
ដេញដោល	d e ɲ d aɔ l
ដេញថ្លៃ	d e ɲ tʰ l ai
ដេញសាសន៍	d e ɲ s a h
តិញតុញ	t e ɲ t o ɲ
បដិញ្ញា	p a ʔ d e ɲ ɲ aː
បរិញ្ញាបត្ររង	p a ʔ r e ɲ ɲ aː b a t r ɔː ŋ
បរិញ្ញាបត្រ	p a ʔ r e ɲ ɲ aː b a t
បរិញ្ញាប័ត្រ	p a ʔ r e ɲ ɲ aː b a t
បរិញ្ញា	p a ʔ r e ɲ ɲ aː
បាក់ចិញ្ចៀន	b a ʔ c e ɲ c iɜ n
បុព្វេនិវាសានុស្សតិញ្ញាណ	b o p p eː n i β̞ iɜ s aː n ʋ h s a ʔ t e ɲ ɲ iɜ n
របិញរបុញ	r ɔː b e ɲ r ɔː b o ɲ
សមណប្បដិញ្ញា	s a ʔ m a ʔ n a p p a ʔ d e ɲ ɲ aː
សួរដេញដោល	s uɜ d e ɲ d aɔ l
អាសិញ្ចនកម្ម	ʔ aː s e ɲ c a ʔ n a ʔ k a m
អាសិញ្ចន	ʔ aː s e ɲ c a ʔ n a ʔ
ការប្រកែកគ្នា	k aː p r ɑː c aɛ k kʰ n iɜ
ការជជែកពិភាក្សា	k aː c ɔː c ɛː c p i pʰ iɜ ʔ s aː
ក្តីរីករាយ	kʰ t ɜi r iː c r iɜ j
ក្សេត្រាធិការ	kʰ s ɛe t r aː tʰ i k aː
ចែកគ្នា	c aɛ c kʰ n iɜ
ចែកផ្លូវគ្នា	c aɛ c pʰ l oʊ β̞ kʰ n iɜ
ជជែកគ្នា	c ɔː c ɛː c kʰ n iɜ
ជីវបច្ចេកវិទ្យា	c iː β̞ ɛă ʔ p a c c ɛe k a ʔ β̞ i tʰ j iɜ
ថនិកសត្វ	tʰ a ʔ n i k a ʔ s a t
ទិដ្ឋធម្មិកប្រយោជន៍	t i t tʰ a ʔ tʰ oă m m i k a ʔ p r ɑː j aɔ c
ទ្វីគុណ	tʰ β̞ iː k ʋ n
ទ្វេគុណ	tʰ β̞ eː k ʋ n
ទ្វេគ្រាះ	tʰ β̞ eː k r iɜ h
និគ្រោធព្រឹក្ស	n i k r oː tʰ ɛă ʔ p r ɘ k
បច្ចេកវិទ្យា	p a c c ɛe k a ʔ β̞ i tʰ j iɜ
បែកចាកគ្នា	b aɛ c c aː k kʰ n iɜ
ប្រឋមសម្ពោធិកថា	p r ɑː tʰ ɑː m ɛă ʔ s ɑ m p oː tʰ i k a ʔ tʰ aː
ប្រេកង់	p r ɛe k ɑ ŋ
ប្រែកាយ	p r aɛ k aː j
ពព្លិកពព្លាក់	p ɔː pʰ l i c p ɔː pʰ l ɛă ʔ
ពុទ្ធិកវិទ្យាល័យ	p ʋ t tʰ i k a ʔ β̞ i tʰ j iɜ l ai
ពេកក្ដាត់	p eː c kʰ d a t
ព្លិការ	pʰ l i k aː
វិទ្យាធិការ	β̞ i tʰ j iɜ tʰ i k aː
វេមានិកប្រេតី	β̞ eː m iɜ n i k a ʔ p r aɛ t ɜi
វេមានិកប្រេត	β̞ eː m iɜ n i k a ʔ p r aɛ t
សាកលវិទ្យាធិការ	s aː k ɑ l β̞ i tʰ j iɜ tʰ i k aː
សិក្សាធិការ	s ɜ k s aː tʰ i k aː
ស្តនិកសត្វ	s t a ʔ n i k a ʔ s a t
អាហ្វ្រិកខាងត្បូង	ʔ aː h β̞ r i c kʰ aː ŋ tʰ b oʊ ŋ
អេកូណូមិក្លាស	ʔ ɛe k oʊ n oʊ m i kʰ l aː h
អំព្រំប្រែក្រោយ	ʔ ɑ m p r ʋ m p r aɛ k r aɔ j
រឃិករឃុក	r ɔː kʰ i c r ɔː kʰ ʋ ʔ
ការក្តុកក្តួល	k aː kʰ t o ʔ kʰ t uɜ l
ការចោទប្រកាន់	k aː c aɔ t p r ɑː k a n
ការបកប្រែ	k aː b ɑː ʔ p r aɛ
ការប្រកបមុខរបរ	k aː p r ɑː k ɑː p m ʋ ʔ r ɔː b ɑː
ការប្រកបរបរ	k aː p r ɑː k ɑː p r ɔː b ɑː
ការប្រកប	k aː p r ɑː k ɑː p
ការប្រកាច់	k aː p r ɑː k a c
ការប្រកាស	k aː p r ɑː k aː h
ការប្រកួក	k aː p r ɑː k uɜ ʔ
ការប្រកួតប្រជែង	k aː p r ɑː k uɜ t p r ɑː c ɛː ŋ
ការប្រកួត	k aː p r ɑː k uɜ t
ការប្រកែក	k aː p r ɑː k aɛ k
ការប្រគល់ជូន	k aː p r ɑː k ʋ l c uː n
ការប្រគល់	k aː p r ɑː k ʋ l
ការប្រគុំតន្ត្រី	k aː p r ɑː k ʋ m d ɑ n t r ɜi
ការប្រគំ	k aː p r ɑː k ʋ m
ការព្យាករណ៍	k aː pʰ j iɜ k ɑː
ការព្យាករ	k aː pʰ j iɜ k ɑː
កិច្ចចោទប្រកាន់	k e c c aɔ t p r ɑː k a n
ក្ដុកក្ដាក់	kʰ d o ʔ kʰ d a ʔ
ក្ដុកក្ដួល	kʰ d o ʔ kʰ d uɜ l
គជមុក្តា	k ɛă ʔ c ɛă ʔ m ʋ ʔ kʰ d aː
ចែកមុខគ្នា	c aɛ kʰ m ʋ ʔ kʰ n iɜ
ជមុក្ដា	c ɛă ʔ m ʋ ʔ kʰ d aː
ឈ្លោះប្រកែក	cʰ l uɜ h p r ɑː k aɛ k
ត្រចៀកប្រើស	t r ɑː c iɜ ʔ p r aɜ h
ត្រចៀកព្នង	t r ɑː c iɜ ʔ pʰ n ɔː ŋ
ត្រូវប្រគល់	t r oʊ β̞ p r ɑː k ʋ l
ទ្វេភាគី	tʰ β̞ eː pʰ iɜ k iː
នាគប្រក់	n iɜ ʔ p r ɑ ʔ
និត្យានុកូលភាព	n i t tʰ j aː n ʋ k oʊ l a ʔ pʰ iɜ p
និត្យានុកូល	n i t tʰ j aː n ʋ k oʊ l
ប្រកបរបរ	p r ɑː k ɑː p r ɔː b ɑː
ប្រកប	p r ɑː k ɑː p
ប្រករណ៍	p r ɑː k ɑː
ប្រកល់	p r ɑː k ɑ l
ប្រកាក់	p r ɑː k a ʔ
ប្រកាច់	p r ɑː k a c
ប្រកាន់ភ្ជាប់	p r ɑː k a n pʰ c oă p
ប្រកាន់	p r ɑː k a n
ប្រកាប់	p r ɑː k a p
ប្រការ	p r ɑː k aː
ប្រកាសកៈ	p r ɑː k aː s a ʔ k a ʔ
ប្រកាសនវត្ថុ	p r ɑː k aː s a ʔ n a ʔ β̞ a t tʰ o
ប្រកាសនីយបត្រ	p r ɑː k aː s a ʔ n iː j ɛă ʔ b a t
ប្រកាសប្រាប់	p r ɑː k aː h p r a p
ប្រកាសអោយ	p r ɑː k aː h ʔ aɔ j
ប្រកាសិកា	p r ɑː k aː s e k aː
ប្រកាសិត	p r ɑː k aː s e t
ប្រកាស	p r ɑː k aː h
ប្រកាំង	p r ɑː k a ŋ
ប្រកាំ	p r ɑː k a m
ប្រកា	p r ɑː k aː
ប្រកិត	p r ɑː k e t
ប្រកឹង	p r ɑː k ɜ ŋ
ប្រកុន	p r ɑː k o n
ប្រកុំ	p r ɑː k o m
ប្រកូក	p r ɑː k oʊ k
ប្រកូវ	p r ɑː k oʊ β̞
ប្រកួត	p r ɑː k uɜ t
ប្រកើយ	p r ɑː k aɜ j
ប្រកៀកប្រកិត	p r ɑː k iɜ ʔ p r ɑː k e t
ប្រកៀកប្រកើយ	p r ɑː k iɜ ʔ p r ɑː k aɜ j
ប្រកៀក	p r ɑː k iɜ ʔ
ប្រកៀង	p r ɑː k iɜ ŋ
ប្រកែក	p r ɑː k aɛ k
ប្រកែ	p r ɑː k aɛ
ប្រកៃ	p r ɑː k ai
ប្រកោះ	p r ɑː k ɑ h
ប្រកោ	p r ɑː k aɔ
ប្រគងប្រគាក់	p r ɑː k ɔː ŋ p r ɑː k ɛă ʔ
ប្រគង	p r ɑː k ɔː ŋ
ប្រគរ	p r ɑː k ɔː
ប្រគល់ជូន	p r ɑː k ʋ l c uː n
ប្រគល់	p r ɑː k ʋ l
ប្រគាក់	p r ɑː k ɛă ʔ
ប្រគាប	p r ɑː k iɜ p
ប្រគុំតន្ត្រី	p r ɑː k ʋ m d ɑ n t r ɜi
ប្រគុំ	p r ɑː k ʋ m
ប្រគេន	p r ɑː k eː n
ប្រគំតន្ដ្រី	p r ɑː k ʋ m d ɑ n t r ɜi
ប្រគំតន្ត្រី	p r ɑː k ʋ m d ɑ n t r ɜi
ប្រគំ	p r ɑː k ʋ m
ប្រគ្រីវ	p r ɑː k r iː β̞
ប្រជាករ	p r ɑː c iɜ k ɑː
ប្រទុក្ខប្រដាក់	p r ɑː t ʋ ʔ p r ɑː d a ʔ
ប្រភាករ	p r ɑː pʰ iɜ k ɑː
ប្រមុខរដ្ឋ	p r ɑː m ʋ ʔ r oă t
ប្រលាំប្រកូវ	p r ɑː l a m p r ɑː k oʊ β̞
ប្រឡាំប្រកូវ	p r ɑː l a m p r ɑː k oʊ β̞
ប្រឡែប្រកោ	p r ɑː l aɛ p r ɑː k aɔ
ពាក្យប្រដូច	p iɜ ʔ p r ɑː d oʊ c
ពួកក្មេង	p uɜ ʔ kʰ m ɛe ɲ
ព្យត្តបុគ្គល	pʰ j oa t t a ʔ b o ʔ k ʋ l
ព្យាករណ៍	pʰ j iɜ k ɑː
ព្យាករ	pʰ j iɜ k ɑː
ព្យាការី	pʰ j iɜ k aː r ɜi
ព្យាក្រឹតិ	pʰ j iɜ k r ɜ t
ព្រះប្រមុខរដ្ឋ	p r ɛă h p r ɑː m ʋ ʔ r oă t
ភាពប្រកួតប្រជែង	pʰ iɜ p p r ɑː k uɜ t p r ɑː c ɛː ŋ
ភាពសុក្រឹត្យ	pʰ iɜ p s o k r ɜ t
រុក្ខារក្ស	r ʋ ʔ kʰ aː r a ʔ
រោគលលកប្រះ	r oː kʰ l ɔː l ɔː ʔ p r a h
លលកប្រះ	l ɔː l ɔː ʔ p r a h
វិប្រការ	β̞ i p p r ɑː k aː
វិប្រក្រឹតិ	β̞ i p p r ɑː k r ɜ t
សន្ធិប្រកាស	s ɑ n tʰ i p r ɑː k aː h
សប្តប្រករណ៍	s a p p r ɑː k ɑː
សព្វគ្រប់ប្រការ	s ɑ pʰ k r ʋ p p r ɑː k aː
សមរប្រកាសន៍	s a ʔ m ɑː p r ɑː k aː h
សុក្រឹត្យ	s o k r ɜ t
សុប្រកាស	s o p r ɑː k aː h
សៀគ្វី	s iɜ ʔ kʰ β̞ iː
អក្សរកាត់	ʔ a ʔ s ɑː k a t
អក្សរគ្រវាត់	ʔ a ʔ s ɑː k r ɔː β̞ oă t
អនុប្រការ	ʔ a ʔ n ʋ p r ɑː k aː
អប្រការ	ʔ a p p r ɑː k aː
អព្យាកតកម្ម	ʔ a p pʰ j iɜ k a ʔ t a ʔ k a m
អព្យាកត	ʔ a p pʰ j iɜ k ɑ t
អព្យាក្រិត	ʔ a p pʰ j iɜ k r e t
អព្យាក្រឹតភាព	ʔ a p pʰ j iɜ k r ɜ t a ʔ pʰ iɜ p
អព្យាក្រឹត្យ	ʔ a p pʰ j iɜ k r ɜ t
អព្យាក្រឹត	ʔ a p pʰ j iɜ k r ɜ t
អ្នកបកប្រែ	n ɛă ʔ b ɑː k p r aɛ
អ្នកប្រកាន់សាសន៍	n ɛă ʔ p r ɑː k a n s a h
អ្នកប្រគល់	n ɛă ʔ p r ɑː k ʋ l
អ្នកព្យាករណ៍	n ɛă ʔ pʰ j iɜ k ɑː
ការក្លែងបន្លំ	k aː kʰ l aɛ ɲ b ɑ n l ɑ m
កេងប្រវ័ញ្ច	k ɛe ɲ p r ɑː β̞ a ɲ
ក្មេងក្មាង	kʰ m ɛe ɲ kʰ m aː ŋ
ក្មេងខ្ចី	kʰ m ɛe ɲ kʰ c ɜi
ក្មេងឈ្នួល	kʰ m ɛe ɲ cʰ n uɜ l
ក្មេងប្រុស	kʰ m ɛe ɲ p r o h
ក្មេងស្រី	kʰ m ɛe ɲ s r ɜi
ក្រុមក្មេងស្ទាវ	k r o m kʰ m ɛe ɲ s t iɜ β̞
ក្លែងក្លាយ	kʰ l aɛ ɲ kʰ l aː j
ត្បែងដៃ	tʰ b aɛ ɲ d ai
ប្រណែងប្រណោង	p r ɑː n aɛ ɲ p r ɑː n aɔ ŋ
ប្រេងកាតឆៅ	p r ɛe ɲ k aː t cʰ aɨ
ប្រេងកាត	p r ɛe ɲ k aː t
ប្រេងតាណី	p r ɛe ɲ t aː n ɜi
ប្រេងម៉ាស៊ូត	p r ɛe ɲ m aː s uː t
ប្រេងម្សៅ	p r ɛe ɲ m s aɨ
ប្រេងលាបសក់	p r ɛe ɲ l iɜ p s ɑ ʔ
ប្រេងល្ហុង	p r ɛe ɲ l h o ŋ
ប្រេងសាំង	p r ɛe ɲ s a ŋ
ប្រេងឥន្ធនៈ	p r ɛe ɲ ʔ e n tʰ ɛă ʔ n ɛă ʔ
ប្លូមមីងហ្កាល	pʰ l oʊ m m iː ɲ h k aː l
ប្លេងប្លោង	pʰ l ɛe ɲ pʰ l aɔ ŋ
ផ្សេងគ្នា	pʰ s ɛe ɲ kʰ n iɜ
ភាពក្មេងវ័យ	pʰ iɜ p kʰ m ɛe ɲ β̞ ɘi
លីងល័ក្ត	l iː ɲ l ɛă ʔ
លះលែងគ្នា	l ɛă h l ɛː ɲ kʰ n iɜ
សែងព្រះអាទិត្យ	s aɛ ɲ p r ɛă h ʔ aː t i t
ហ្វ្រែងគ្លីន	h β̞ r aɛ ɲ kʰ l iː n
ឥសីប្លែងសារ	ʔ e s ɜi pʰ l aɛ ɲ s aː
ឫសីប្លែងសារ	r ɘ s ɜi pʰ l aɛ ɲ s aː
កខ្វេងកខ្វាក់	k ɑː kʰ β̞ ɛe ɲ k ɑː kʰ β̞ a ʔ
កក់ក្ដៅ	k ɑ ʔ kʰ d aɨ
កក់ក្តៅ	k ɑ ʔ kʰ d aɨ
កក្លាក់	k ɑː kʰ l a ʔ
កក្វិសកក្វាស់	k ɑː kʰ β̞ e h k ɑː kʰ β̞ a h
កង់គ្លីយ៉ុង	k ɑ ŋ kʰ l iː j o ŋ
កង្កែបប្រុយ	k ɑ ŋ k aɛ p p r o j
កណ្តុរប្រែង	k ɑ n t aɔ p r aɛ ŋ
កន្ត្រងប្រេង	k ɑ n t r ɑː ŋ p r ɛe ŋ
កន្ទួតប្រោង	k ɑ n t uɜ t p r aɔ ŋ
កប់ក្ដោង	k ɑ p kʰ d aɔ ŋ
កប្បព្រឹក្ស	k a p p a ʔ p r ɘ k
កម្មសិក្សា	k a m m a ʔ s ɜ k s aː
កល្បព្រឹក្ស	k a l p a ʔ p r ɘ k
កាត់ក្ដី	k a t kʰ d ɜi
កាព្យ	k aː p
ការកាត់ក្តី	k aː k a t kʰ t ɜi
ការកាត់សេចក្ដី	k aː k a t s a c kʰ d ɜi
ការកែប្រែ	k aː k aɛ p r aɛ
ការកោះប្រជុំ	k aː k ɑ h p r ɑː c ʋ m
ការកំប្លែង	k aː k ɑ m pʰ l aɛ ŋ
ការក្លាយទៅជា	k aː kʰ l aː j t ɘɨ c iɜ
ការក្លាយ	k aː kʰ l aː j
ការគិតប្រាក់	k aː k i t p r a ʔ
ការគ្មាន	k aː kʰ m iɜ n
ការចុះពិនិត្យ	k aː c o h p i n i t
ការឆក់ប្លន់	k aː cʰ ɑ ʔ pʰ l ɑ n
ការជួបជុំគ្នា	k aː c uɜ p c ʋ m kʰ n iɜ
ការជួបប្រជុំគ្នា	k aː c uɜ p p r ɑː c ʋ m kʰ n iɜ
ការជួបប្រជុំ	k aː c uɜ p p r ɑː c ʋ m
ការជំរះក្តី	k aː c ʋ m r ɛă h kʰ t ɜi
ការត្បាញ	k aː tʰ b aː ɲ
ការត្បិតត្បៀត	k aː tʰ b e t tʰ b iɜ t
ការត្បៀត	k aː tʰ b iɜ t
ការត្រួតពិនិត្យ	k aː t r uɜ t p i n i t
