!SIL	sil
<UNK>	sil
កាលានុវត្ត	k aː l aː n ʋ β̞ oă t
កាលីប	k aː l iː p
កាលីហ្វនីញ៉ា	k aː l iː h β̞ ɑː n iː ɲ aː
កាលីហ្វ័រញ៉ា	k aː l iː h β̞ oa ɲ aː
កាលីហ្វ័រនីញ៉ា	k aː l iː h β̞ oa n iː ɲ aː
កាលីហ្វ័រ	k aː l iː h β̞ oa
កាលៈទេសៈ	k aː l a ʔ t eː s a ʔ
កាល់តិច	k a l t e c
កាល់ម៉ែត	k a l m aɛ t
កាល់ស្យូម	k a l s j oʊ m
កាល់	k a l
កាល្យូម	k aː l j oʊ m
កាល	k aː l
កាវហ្កាសៀន	k aː β̞ h k aː s iɜ n
កាវ៉ាដា	k aː β̞ aː d aː
កាវ៉ារ៉ាម៉ាឈី	k aː β̞ aː r aː m aː cʰ iː
កាវ៉ាសាគី	k aː β̞ aː s aː k iː
កាវ៉ាស៊ី	k aː β̞ aː s iː
កាវ៉ា	k aː β̞ aː
កាវ	k aː β̞
កាសស្យូ	k aː h s j oʊ
កាសអង្ករ	k aː h ʔ ɑ ŋ k ɑː
កាសាម៉ា	k aː s aː m aː
កាសាវពស្ត្រ	k aː s aː β̞ ɛă ʔ p oă h
កាសូកូ	k aː s oʊ k oʊ
កាសូអូ	k aː s oʊ ʔ oʊ
កាសូ	k aː s oʊ
កាសែត	k aː s aɛ t
កាស៊ីណូ	k aː s iː n oʊ
កាស៊ីវ៉ា	k aː s iː β̞ aː
កាស៊ីស	k aː s iː h
កាស៊ី	k aː s iː
កាស់	k a h
កាស្ទ្រីត	k aː s t r iː t
កាស	k aː h
កាហាឈិ	k aː h aː cʰ i
កាហាណា	k aː h aː n aː
កាហាត	k aː h aː t
កាហែ	k aː h aɛ
កាហោ	k aː h aɔ
កាហ្វេអ៊ីន	k aː h β̞ ɛe ʔ iː n
កាហ្វេ	k aː h β̞ ɛe
កាហ្សូកូ	k aː h s oʊ k oʊ
កាហ្សូមី	k aː h s oʊ m iː
កាហ្សូអេ	k aː h s oʊ ʔ ɛe
កាហ្សូ	k aː h s oʊ
កាឡកណ្ណី	k aː l k a n n ɜi
កាឡកិណី	k aː l k e n ɜi
កាឡាក់ស៊ី	k aː l a ʔ s iː
កាឡាខ្លួន	k aː l aː kʰ l uɜ n
កាឡាប៉ា	k aː l aː p aː
កាឡា	k aː l aː
កាឡី	k aː l ɜi
កាឡូរី	k aː l oʊ r iː
កាឡូរ៉ាដូ	k aː l oʊ r aː d oʊ
កាឡូ	k aː l oʊ
កាឡៃ	k aː l ai
កាឡ	k aː l
កាអូរី	k aː ʔ oʊ r iː
កាំកី	k a m k ɜi
កាំកូ	k a m k oʊ
កាំងតាល់	k a ŋ t a l
កាំង	k a ŋ
កាំជ្រួចចក្កវាឡ	k a m c r uɜ c c a ʔ k a ʔ β̞ aː l
កាំជ្រួច	k a m c r uɜ c
កាំបិតចែត	k a m b e t c aɛ t
កាំបិតបុ័ងតោ	k a m b e t p a ŋ t aɔ
កាំបិត	k a m b e t
កាំបូឌីយ៉ាណា	k a m b oʊ d iː j aː n aː
កាំបូ	k a m b oʊ
កាំភ្លើងខ្យល់	k a m pʰ l ɘː ŋ kʰ j ɑ l
កាំភ្លើងដេសេអា	k a m pʰ l ɘː ŋ d ɛe s ɛe ʔ aː
កាំភ្លើងឥតធាក់ថយ	k a m pʰ l ɘː ŋ ʔ e t tʰ ɛă ʔ tʰ ɑː j
កាំភ្លើង	k a m pʰ l ɘː ŋ
កាំភ្លោះ	k a m pʰ l uɜ h
កាំម្រឹត	k a m m r ɘ t
កាំរន្ទះ	k a m r ʋ n t ɛă h
កាំរស្មី	k a m r ɛă ʔ s m ɜi
កាំ	k a m
កា	k aː
កិកិ	k e k e
កិក	k e k
កិង	k e ŋ
កិច្ចកល	k e c k ɑ l
កិច្ចការពារ	k e c k aː p iɜ
កិច្ចការ	k e c k aː
កិច្ចខិតខំ	k e c kʰ e t kʰ ɑ m
កិច្ចព្រមព្រៀង	k e c p r ɔː m p r iɜ ŋ
កិច្ចសន្ទនា	k e c s ɑ n t ɛă ʔ n iɜ
កិច្ចសន្យា	k e c s ɑ n n j aː
កិច្ចសម្ភាសន៍	k e c s ɑ m pʰ iɜ h
កិច្ចសម្ភាស	k e c s ɑ m pʰ iɜ h
កិច្ចសហការ	k e c s a ʔ h a ʔ k aː
កិច្ចស៊ើបសួរ	k e c s ɘː p s uɜ
កិច្ចអភិវឌ្ឍន៍	k e c ʔ a ʔ pʰ i β̞ oă t
កិច្ច	k e c
កិតនាម	k e t t a ʔ n iɜ m
កិតអាចម៍	k e t ʔ a c
កិត្តិគុណ	k e t t e k ʋ n
កិត្តិនាម	k e t t e n iɜ m
កិត្តិយស	k e t t e j uɜ h
កិត្តិសព្ទ	k e t t e s a p
កិត្តិ	k e t t e
កិត	k e t
កិនអង្ករ	k e n ʔ ɑ ŋ k ɑː
កិនី	k e n ɜi
កិន្នរី	k e n n ɑː r ɜi
កិន្នរ	k e n n ɑː
កិន	k e n
កិប	k e p
កិមិជាតិ	k e m i c iɜ t
កិរិយាវិសេសន៍	k e r e j aː β̞ i s aɛ h
កិរិយាសព្ទ	k e r e j aː s a p
កិរិយា	k e r e j aː
កិរ្តិសព្ទ	k e t t e s a p
កិរ្តិ៍	k ɛe
កិលេស	k e l ɛe h
កិល	k e l
កិស៊ូគិ	k e s uː k i
កិ	k e
កីលែន	k ɜi l ɛː n
កីឡដ្ឋាន	k ɜi l a t tʰ aː n
កីឡនដ្ឋាន	k ɜi l a ʔ n a t tʰ aː n
កីឡាករ	k ɜi l aː k ɑː
កីឡាការិនី	k ɜi l aː k aː r e n iː
កីឡាកាស	k ɜi l aː k aː h
កីឡាដ្ឋាន	k ɜi l aː t tʰ aː n
កីឡាតិន្នីស	k ɜi l aː t e n n iː h
កីឡាបាល់ទះ	k ɜi l aː b a l t ɛă h
កីឡាភូមិ	k ɜi l aː pʰ uː m
កីឡាមណ្ឌល	k ɜi l aː m ʋ n d ʋ l
កីឡាអត្តពលកម្ម	k ɜi l aː ʔ a t t a ʔ p ʋ l l ɛă ʔ k a m
កីឡា	k ɜi l aː
កី	k ɜi
កឹងកន្ត្រៃ	k ɜ ŋ k ɑ n t r ai
កឹង	k ɜ ŋ
កឹប	k ɜ p
កឹម	k ɜ m
កឹរ៉ូសាវ៉ា	k ɜ r oʊ s aː β̞ aː
កឹះ	k ɜ h
កឺនីជី	k ɜɘ n iː c iː
កឺ	k ɜɘ
កុងកាប់	k o ŋ k a p
កុងដង់សាទ័រ	k o ŋ d ɑ ŋ s aː t oa
កុងតាក់	k o ŋ t a ʔ
កុងតឺន័រ	k o ŋ t ɜɘ n oa
កុងត្រា	k o ŋ t r aː
កុងត្រូល	k o ŋ t r oʊ l
កុងទូក	k o ŋ t uː k
កុងទ័រ	k o ŋ t oa
កុងផាត់	k o ŋ pʰ a t
កុងសង់ស៊ីស	k o ŋ s ɑ ŋ s iː h
កុងសែ	k o ŋ s aɛ
កុងស៊ី	k o ŋ s iː
កុងស៊ុល	k o ŋ s ʋ l
កុងស៊ូល	k o ŋ s uː l
កុងហ្គូដ	k o ŋ h k uː t
កុង្សីយ៍សេនាបតី	k o ŋ s ɜi s ɛe n aː p a ʔ d ɜi
កុង្សីយ៍	k o ŋ s ɜi
កុង	k o ŋ
កុច	k o c
កុញ្ចែ	k o ɲ c aɛ
កុញ្ជរាធិបតី	k o ɲ c ɔː r iɜ tʰ i p a ʔ d ɜi
កុញ្ជរ	k o ɲ c ɔː
កុញ	k o ɲ
កុដិកភត្ត	k o d e k a ʔ pʰ oă t
កុដិក	k o d e k
កុដិ	k o t
កុដ្ឋិ	k o t
កុណ្ឌល	k o n d ʋ l
កុណ្ឌី	k o n d iː
កុណ្ឌ	k o n
កុត	k o t
កុទិដ្ឋិ	k o t i t tʰ e
កុន	k o n
កុបកម្ម	k o p a ʔ k a m
កុបករ	k o p a ʔ k ɑː
កុប	k o p
កុមារដ្ឋាន	k o m aː r a t tʰ aː n
កុមារភាព	k o m aː r a ʔ pʰ iɜ p
កុមារសង្គ្រោះ	k o m aː s ɑ ŋ k r uɜ h
កុមារា	k o m aː r aː
កុមារិកា	k o m aː r e k aː
កុមារី	k o m aː r ɜi
កុមារ	k o m aː
កុមុទ	k o m ʋ t
កុម៉្មង់	k o m m ɑ ŋ
កុម្ភការដ្ឋាន	k o m pʰ ɛă ʔ k aː r a t tʰ aː n
កុម្ភការី	k o m pʰ ɛă ʔ k aː r ɜi
កុម្ភការ	k o m pʰ ɛă ʔ k aː
កុម្ភណ្ឌ	k o m pʰ oă n
កុម្ភៈ	k o m pʰ ɛă ʔ
កុម្ភ	k o m pʰ ɛă ʔ
កុម្មុយនិស្ត	k o m m ʋ j n i h
កុម្ម៉ង់	k o m m ɑ ŋ
កុយ	k o j
កុរ	k o l
កុលធីតា	k o l a ʔ tʰ iː d aː
កុលបលិពោធ	k o l a ʔ p a ʔ l i pʰ oː t
កុលបុត្រ	k o l a ʔ b o t
កុលប	k o l a ʔ p a ʔ
កុលពិរោធ	k o l a ʔ p i r oː t
កុលមច្ឆរិយៈ	k o l a ʔ m a c cʰ a ʔ r e j ɛă ʔ
កុលវគ្គ	k o l a ʔ β̞ ɛă ʔ
កុលវិបត្តិ	k o l a ʔ β̞ i b a t
កុលវំសៈ	k o l a ʔ β̞ a ŋ s a ʔ
កុលសម្បត្តិ	k o l a ʔ s ɑ m b a t
កុលសម្ព័ន្ធ	k o l a ʔ s ɑ m p oă n
កុលាប	k o l aː p
កុលាលភាជន៍	k o l aː l a ʔ pʰ iɜ c
កុល	k o l
កុសមៈ	k o s a ʔ m a ʔ
កុសលកម្មបថ	k o s ɑ l l a ʔ k a m m a ʔ b ɑ t
កុសលកម្ម	k o s ɑ l l a ʔ k a m
កុសលោបាយ	k o s a ʔ l aɔ b aː j
កុសល	k o s ɑ l
កុសិនារា	k o s e n iɜ r iɜ
កុសុមៈ	k o s o m a ʔ
កុសុម	k o s o m
កុស	k o h
កុហក់	k o h ɑ ʔ
កុហក	k o h ɑ ʔ
កុឡា	k o l aː
កុំប៉ុសកម្ម	k o m p o h k a m
កុំប៉ុស	k o m p o h
កុំម្មុយនិស្ត	k o m m ʋ j n i h
កុំអាល	k o m ʔ aː l
កុំ	k o m
កុះករ	k o h k ɑː
កុះកុំ	k o h k o m
កុះ	k o h
កុ	k o
កូកកាក	k oʊ k k aː k
កូកាកូឡា	k oʊ k aː k oʊ l aː
កូកាអ៊ីន	k oʊ k aː ʔ iː n
កូកា	k oʊ k aː
កូកេស៊ី	k oʊ k ɛe s iː
កូក	k oʊ k
កូជី	k oʊ c iː
កូញាក់	k oʊ ɲ ɛă ʔ
កូញ៉ាក់	k oʊ ɲ a ʔ
កូដកម្ម	k oʊ d a ʔ k a m
កូដករ	k oʊ d a ʔ k ɑː
កូដាក	k oʊ d aː k
កូដូបាសា	k oʊ d oʊ b aː s aː
កូដូ	k oʊ d oʊ
កូដោបាយ	k oʊ d aɔ b aː j
កូដ	k oʊ t
កូណាកាណូ	k oʊ n aː k aː n oʊ
កូណា	k oʊ n aː
កូណូ	k oʊ n oʊ
កូតា	k oʊ t aː
កូត	k oʊ t
កូនកណ្ដុរ	k oʊ n k ɑ n d o l
កូនកាត់	k oʊ n k a t
កូនកាំបិត	k oʊ n k a m b e t
កូនកំព្រា	k oʊ n k ɑ m p r iɜ
កូនក្រមុំកៅស៊ូ	k oʊ n k r ɑː m o m k aɨ s uː
កូនក្រមុំ	k oʊ n k r ɑː m o m
កូនក្រាញ់	k oʊ n k r a ɲ
កូនក្រាប់	k oʊ n k r a p
កូនគោល	k oʊ n k oː l
កូនឃ្មុំ	k oʊ n kʰ m ʋ m
កូនង៉ា	k oʊ n ŋ aː
កូនង៉ែត	k oʊ n ŋ aɛ t
កូនចាប	k oʊ n c aː p
កូនឆ្កែញាំង	k oʊ n cʰ k aɛ ɲ ɛă ŋ
កូនជើង	k oʊ n c ɘː ŋ
កូនតឹង	k oʊ n t ɜ ŋ
កូនទោល	k oʊ n t oː l
កូនបណ្ដែត	k oʊ n b ɑ n d aɛ t
កូនលង	k oʊ n l ɔː ŋ
កូនលោក	k oʊ n l oː k
កូនសង្កត់	k oʊ n s ɑ ŋ k ɑ t
កូនសរ	k oʊ n s ɑː
កូនសិស្ស	k oʊ n s ɜ h
កូនសោរ	k oʊ n s aɔ
កូនសោឡាន	k oʊ n s aɔ l aː n
កូនស្ងើន	k oʊ n s ŋ aɜ n
កូនស្រី	k oʊ n s r ɜi
កូនហ្គុលហ្វ៍	k oʊ n h k ʋ l
កូនហ្គោល	k oʊ n h k oː l
កូនេ	k oʊ n eː
កូនៅជិត	k oʊ n ɘɨ c i t
កូន	k oʊ n
កូបាយ៉ាកាវ៉ា	k oʊ b aː j aː k aː β̞ aː
កូបាយ៉ាស៊ី	k oʊ b aː j aː s iː
កូបា	k oʊ b aː
កូបូ	k oʊ b oʊ
កូបេ	k oʊ b ɛe
កូប៉ាយ៉ាស៊ី	k oʊ p aː j aː s iː
កូប៉ុង	k oʊ p o ŋ
កូប	k oʊ p
កូផេនហាហ្គេន	k oʊ pʰ ɛe n h aː h k eː n
កូពី	k oʊ p iː
កូម៉ា	k oʊ m aː
កូម៉ូរី	k oʊ m oʊ r iː
កូម	k oʊ m
កូយ	k oʊ j
កូរូឡា	k oʊ r oʊ l aː
កូរ៉ុម	k oʊ r o m
កូរ៉ូឡា	k oʊ r oʊ l aː
កូរ៉ូ	k oʊ r oʊ
កូរ៉េ	k oʊ r ɛe
កូរ	k oʊ
កូលាប	k oʊ l aː p
កូលីមែន	k oʊ l iː m ɛː n
កូលេស្តេរ៉ុល	k oʊ l ɛe h s t ɛe r o l
កូលេស	k oʊ l ɛe h
កូល័រ	k oʊ l oa
កូល្លីន	k oʊ l l iː n
កូល	k oʊ l
កូវកែ	k oʊ β̞ k aɛ
កូវេន	k oʊ β̞ eː n
កូវ	k oʊ β̞
កូសាំងស៊ីន	k oʊ s a ŋ s iː n
កូស	k oʊ h
កូហេន	k oʊ h ɛe n
កូឡាឡាំពួរ	k oʊ l aː l a m p uɜ
កូឡា	k oʊ l aː
កូឡុង	k oʊ l o ŋ
កូឡុមប៊ី	k oʊ l o m b iː
កូឡុមប៊ឺស	k oʊ l o m b ɨː h
កូឡុមប៊ើស	k oʊ l o m b ɘː h
កូឡុម	k oʊ l o m
កូឡុំបូ	k oʊ l o m b oʊ
កូឡុំប៊ី	k oʊ l o m b iː
កូឡូញ	k oʊ l oʊ ɲ
កូឡូរ៉ាដូ	k oʊ l oʊ r aː d oʊ
កូឡេស្តេរ៉ុល	k oʊ l ɛe h s t ɛe r o l
កូអាលាស	k oʊ ʔ aː l aː h
កូអ៊ីឈិ	k oʊ ʔ iː cʰ i
កូ៎ក	k oʊ k
កូ	k oʊ
កួច	k uɜ c
កួត	k uɜ t
កួន	k uɜ n
កួយ	k uɜ j
កួរ	k uɜ
កើង	k aɜ ŋ
កើច	k aɜ c
កើតកូន	k aɜ t k oʊ n
កើតទោសា	k aɜ t t oː s aː
កើតមោហោទោសោ	k aɜ t m oː h aɔ t oː s aɔ
កើតឡើង	k aɜ t l aɜ ŋ
កើត	k aɜ t
កើនឡើង	k aɜ n l aɜ ŋ
កើន	k aɜ n
កើប	k aɜ p
កើយ	k aɜ j
កើល	k aɜ l
កើ	k aɜ
កឿង	k ɨɜ ŋ
កឿន	k ɨɜ n
កៀង	k iɜ ŋ
កៀច	k iɜ c
កៀត	k iɜ t
កៀនស្វាយ	k iɜ n s β̞ aː j
កៀន	k iɜ n
កៀប	k iɜ p
កៀរសំរាម	k iɜ s ɑ m r aː m
កៀរ	k iɜ
កៀវ	k iɜ β̞
កៀស	k iɜ h
កេណឺ	k ɛe n ɜi
កេណ្ឌ	k ɛe n
កេណ្ណឺ	k ɛe n ɜi
កេតនភណ្ឌ	k ɛe t a ʔ n a ʔ pʰ oă n
កេតន	k ɛe t a ʔ n a ʔ
កេតុមាលា	k ɛe t o m iɜ l iɜ
កេតុ	k ɛe t o
កេត្ត	k ɛe t
កេត	k ɛe t
កេនតា	k ɛe n t aː
កេនយ៉ា	k ɛe n j aː
កេនេឌី	k ɛe n eː d iː
កេន	k ɛe n
កេមី	k ɛe m iː
កេម	k ɛe m
កេរាដិកជន	k ɛe r aː d e k a ʔ c ʋ n
កេរាទីន	k ɛe r aː t iː n
កេរា	k ɛe r aː
កេរ្តិ៍មរតក	k ɛe m ɔː r ɔː d ɑ ʔ
កេរ្តិ៍	k ɛe
កេរ	k ɛe
កេលកុង	k ɛe l k o ŋ
កេល	k ɛe l
កេវ	k ɛe β̞
កេសរសីហៈ	k aɛ s ɑː s ɜi h a ʔ
កេសរ	k ɛe s ɑː
កេសា	k ɛe s aː
កេសី	k ɛe s ɜi
កេស	k ɛe h
កេអ៊ីតា	k ɛe ʔ iː t aː
កេះឆ្នាំង	k ɛe h cʰ n a ŋ
កេះ	k ɛe h
កេ	k ɛe
កែឆ្នៃ	k aɛ cʰ n ai
កែតម្រូវ	k aɛ d ɑ m r oʊ β̞
កែតំរូវ	k aɛ d ɑ m r oʊ β̞
កែនី	k aɛ n iː
កែន	k aɛ n
កែប	k aɛ p
កែម	k aɛ m
កែរ	k aɛ
កែលំអរ	k aɛ l ʋ m ʔ ɑː
កែលំអ	k aɛ l ʋ m ʔ ɑː
កែល	k aɛ l
កែវឆ្លុះ	k aɛ β̞ cʰ l o h
កែវយឹត	k aɛ β̞ j ɘ t
កែវយឺត	k aɛ β̞ j ɨː t
កែវសមរ	k aɛ β̞ s a ʔ m ɑː
កែវ	k aɛ β̞
កែសម្ផស្ប	k aɛ s ɑ m pʰ oă h
កែសម្ផស្ស	k aɛ s ɑ m pʰ oă h
កែសម្រស់	k aɛ s ɑ m r ɑ h
កែសំរួល	k aɛ s ɑ m r uɜ l
កែស	k aɛ h
កែះ	k aɛ h
កែ	k aɛ
កៃកូ	k ai k oʊ
កៃដា	k ai d aː
កៃលាស	k ai l aː h
កៃលឿង	k ai l ɨɜ ŋ
កៃ	k ai
កោកកាក	k aɔ k k aː k
កោក	k aɔ k
កោងកាង	k aɔ ŋ k aː ŋ
កោងកាច	k aɔ ŋ k aː c
កោងក្រដោ	k aɔ ŋ k r ɑː d aɔ
កោង	k aɔ ŋ
កោញ្ចនាទ	k aɔ ɲ c a ʔ n aː t
កោដិ	k aɔ t
កោដ្ឋ	k aɔ t
កោឌិណ្យ	k aɔ d i n
កោណ	k aɔ n
កោតខ្លាច	k aɔ t kʰ l aː c
កោត	k aɔ t
កោន	k aɔ n
កោប	k aɔ p
កោមល	k aɔ m ɑː l
កោយ	k aɔ j
កោរត្រងោល	k aɔ t r ɑː ŋ aɔ l
កោរ	k aɔ
កោលាហល	k aɔ l aː h ɑ l
កោវិទ	k aɔ β̞ i t
កោសរូស	k aɔ h r uː h
កោសល្យវិច័យ	k aɔ s ɑ l β̞ i c ai
កោសល្យវិច្ឆ័យ	k aɔ s ɑ l β̞ i c cʰ ai
កោសល្យ	k aɔ s ɑ l
កោសល្ល	k aɔ s ɑ l
កោសល	k aɔ s ɑ l
កោសា	k aɔ s aː
កោសិកា	k aɔ s e k aː
កោសិយ	k aɔ s ɜi
កោសុម	k aɔ s o m
កោសេយ្យពស្ដ្រ	k aɔ s ai j a ʔ p oă h
កោសេយ្យវប្បកម្ម	k aɔ s ai j a ʔ β̞ a p b a ʔ k a m
កោសេយ្យវប្បករ	k aɔ s ai j a ʔ β̞ a p p a ʔ k ɑː
កោសេយ្យ	k aɔ s ai
កោស	k aɔ h
កោះកុង	k ɑ h k o ŋ
កោះខ្សាច់ទន្លា	k ɑ h kʰ s a c t ʋ n l iɜ
កោះគ	k ɑ h k ɔː
កោះត្រឡាច	k ɑ h t r ɑː l aː c
កោះធំ	k ɑ h tʰ ʋ m
កោះសូទិន	k ɑ h s oʊ t i n
កោះសំពាយ	k ɑ h s ɑ m p iɜ j
កោះសំពៅ	k ɑ h s ɑ m p ɘɨ
កោះអញ្ជើញ	k ɑ h ʔ a ɲ c ɘː ɲ
កោះអណ្ដែត	k ɑ h ʔ ɑ n d aɛ t
កោះ	k ɑ h
កោ	k aɔ
កៅទណ្ឌ	k aɨ t oă n
កៅយក់	k aɨ j ɔ ʔ
កៅសិប	k aɨ s e p
កៅស៊ូកង	k aɨ s uː k ɑː ŋ
កៅស៊ូ	k aɨ s uː
កៅហាយ	k aɨ h aː j
កៅឡាក់	k aɨ l a ʔ
កៅឡៅ	k aɨ l aɨ
កៅអី	k aɨ ʔ ɜi
កៅអូវ	k aɨ ʔ oʊ β̞
កៅអ៊ី	k aɨ ʔ iː
កៅ	k aɨ
កំចាត់	k ɑ m c a t
កំចាយមារ	k ɑ m c aː j m iɜ
កំចាយ	k ɑ m c aː j
កំចោករោក	k ɑ m c aɔ k r oː k
កំចោក	k ɑ m c aɔ k
កំញម	k ɑ m ɲ ɑː m
កំញាន	k ɑ m ɲ aː n
កំញើញ	k ɑ m ɲ aɜ ɲ
កំដរ	k ɑ m d ɑː
កំដឹង	k ɑ m d ɜ ŋ
កំដៅ	k ɑ m d aɨ
កំណត់ចំណាំ	k ɑ m n ɑ t c ɑ m n a m
កំណត់ត្រា	k ɑ m n ɑ t t r aː
កំណត់ហេតុ	k ɑ m n ɑ t h aɛ t
កំណត់	k ɑ m n ɑ t
កំណប់	k ɑ m n ɑ p
កំណរ	k ɑ m n ɑː
កំណល់	k ɑ m n ɑ l
កំណាច់	k ɑ m n a c
កំណាច	k ɑ m n aː c
កំណាញ់ស្វិត	k ɑ m n a ɲ s β̞ e t
កំណាញ់	k ɑ m n a ɲ
កំណាត់	k ɑ m n a t
កំណាន់	k ɑ m n a n
កំណាយ	k ɑ m n aː j
កំណារ	k ɑ m n aː
កំណិន	k ɑ m n e n
កំណួច	k ɑ m n uɜ c
កំណើត	k ɑ m n aɜ t
កំណើន	k ɑ m n aɜ n
កំណើល	k ɑ m n aɜ l
កំណៀង	k ɑ m n iɜ ŋ
កំណៀច	k ɑ m n iɜ c
កំណៀរ	k ɑ m n iɜ
កំណៀវ	k ɑ m n iɜ β̞
កំណៀស	k ɑ m n iɜ h
កំណេះ	k ɑ m n ɛe h
កំណែតម្រូវ	k ɑ m n aɛ d ɑ m r oʊ β̞
កំណែទម្រង់	k ɑ m n aɛ t ʋ m r ʋ ŋ
កំណែន	k ɑ m n aɛ n
កំណែ	k ɑ m n aɛ
កំណោង	k ɑ m n aɔ ŋ
កំណោត	k ɑ m n aɔ t
កំណោន	k ɑ m n aɔ n
កំណោរ	k ɑ m n aɔ
កំណោស	k ɑ m n aɔ h
កំណោះ	k ɑ m n ɑ h
កំណ	k ɑ m n ɑː
កំទេចកំទី	k ɑ m t i c k ɑ m t iː
កំទេចចោល	k ɑ m t i c c aɔ l
កំទេច	k ɑ m t i c
កំនត់ហេតុ	k ɑ m n ɑ t h aɛ t
កំនត់	k ɑ m n ɑ t
កំនល់	k ɑ m n ɑ l
កំនួច	k ɑ m n uɜ c
កំនើត	k ɑ m n aɜ t
កំនើន	k ɑ m n aɜ n
កំនៀរ	k ɑ m n iɜ
កំនែន	k ɑ m n aɛ n
កំនែ	k ɑ m n aɛ
កំបាក់	k ɑ m b a ʔ
កំបាប	k ɑ m b aː p
កំបាំង	k ɑ m b a ŋ
កំបុតច្រមុះ	k ɑ m b o t c r ɑː m o h
កំបុត	k ɑ m b o t
កំបូល	k ɑ m b oʊ l
កំបូវ	k ɑ m b oʊ β̞
កំបែប	k ɑ m b aɛ p
កំបោរលៀស	k ɑ m b aɔ l iɜ h
កំបោរ	k ɑ m b aɔ
កំប៉ាង	k ɑ m p aː ŋ
កំប៉ាត	k ɑ m p aː t
កំប៉ិច	k ɑ m p e c
កំប៉ិត	k ɑ m p e t
កំប៉ឺត	k ɑ m p ɜɘ t
កំប៉ុង	k ɑ m p o ŋ
កំប៉ុប	k ɑ m p o p
កំប៉ុម	k ɑ m p o m
កំប៉ុល	k ɑ m p o l
កំប៉ុស្ដ	k ɑ m p o h
កំប៉ុស្ត	k ɑ m p o h
កំប៉ុស	k ɑ m p o h
កំប៉ូត	k ɑ m p oʊ t
កំប៉ើញ	k ɑ m p aɜ ɲ
កំប៉េវអារ៉េវ	k ɑ m p ɛe β̞ ʔ aː r ɛe β̞
កំប៉េវ	k ɑ m p ɛe β̞
កំប៉េះកំប៉ោង	k ɑ m p ɛe h k ɑ m p aɔ ŋ
កំប៉េះ	k ɑ m p ɛe h
កំប៉េ	k ɑ m p ɛe
កំប៉ែត	k ɑ m p aɛ t
កំប៉ោង	k ɑ m p aɔ ŋ
កំប៉ោយ	k ɑ m p aɔ j
កំផិត	k ɑ m pʰ e t
កំផែល	k ɑ m pʰ aɛ l
កំផ្លឹម	k ɑ m pʰ l ɜ m
កំផ្លៀង	k ɑ m pʰ l iɜ ŋ
កំផ្លៀវ	k ɑ m pʰ l iɜ β̞
កំផ្លេស	k ɑ m pʰ l ɛe h
កំផ្លេ	k ɑ m pʰ l ɛe
កំពង់ក្របៅ	k ɑ m p ʋ ŋ k r ɑː b aɨ
កំពង់គរ	k ɑ m p ʋ ŋ k ɔː
កំពង់ចាម	k ɑ m p ʋ ŋ c aː m
កំពង់ឆ្ងាយ	k ɑ m p ʋ ŋ cʰ ŋ aː j
កំពង់ឆ្នាំង	k ɑ m p ʋ ŋ cʰ n a ŋ
កំពង់តា	k ɑ m p ʋ ŋ t aː
កំពង់ត្រឡាច	k ɑ m p ʋ ŋ t r ɑː l aː c
កំពង់ទឹក	k ɑ m p ʋ ŋ t ɘ k
កំពង់ធំ	k ɑ m p ʋ ŋ tʰ ʋ m
កំពង់នេះ	k ɑ m p ʋ ŋ n i h
កំពង់ផែ	k ɑ m p ʋ ŋ pʰ aɛ
កំពង់រទេះ	k ɑ m p ʋ ŋ r ɔː t eː h
កំពង់សីលា	k ɑ m p ʋ ŋ s ɜi l aː
កំពង់សោម	k ɑ m p ʋ ŋ s aɔ m
កំពង់សំណាញ់	k ɑ m p ʋ ŋ s ɑ m n a ɲ
កំពង់ស្ពឺ	k ɑ m p ʋ ŋ s p ɨː
កំពង់ស្វាយ	k ɑ m p ʋ ŋ s β̞ aː j
កំពង់ហៅ	k ɑ m p ʋ ŋ h aɨ
កំពង់	k ɑ m p ʋ ŋ
កំពត	k ɑ m p ɔː t
កំពប់	k ɑ m p ʋ p
កំពយ	k ɑ m p ɔː j
កំពស់	k ɑ m p uɜ h
កំពាង	k ɑ m p iɜ ŋ
កំពាញ	k ɑ m p iɜ ɲ
កំពាយ	k ɑ m p iɜ j
កំពិត	k ɑ m p i t
កំពិស	k ɑ m p ɘ h
កំពឹស	k ɑ m p ɘ h
កំពុងដំណើរការ	k ɑ m p ʋ ŋ d ɑ m n aɜ k aː
កំពុងតែ	k ɑ m p ʋ ŋ t aɛ
កំពុងធ្វើដំណើរ	k ɑ m p ʋ ŋ tʰ β̞ ɘː d ɑ m n aɜ
កំពុងពេញពាល	k ɑ m p ʋ ŋ p i ɲ p iɜ l
កំពុងអភិវឌ្ឍន៍	k ɑ m p ʋ ŋ ʔ a ʔ pʰ i β̞ oă t
កំពុង	k ɑ m p ʋ ŋ
កំពុប	k ɑ m p ʋ p
កំពូក	k ɑ m p uː k
កំពូជ	k ɑ m p uː c
កំពូល	k ɑ m p uː l
កំពួរ	k ɑ m p uɜ
កំពើង	k ɑ m p ɘː ŋ
កំពៀច	k ɑ m p iɜ c
កំពោង	k ɑ m p oː ŋ
កំព្រយ	k ɑ m p r ɔː j
កំព្រា	k ɑ m p r iɜ
កំព្រឹង	k ɑ m p r ɘ ŋ
កំព្រឹស	k ɑ m p r ɘ h
កំព្រើល	k ɑ m p r ɘː l
